NAME,POVINN,VPLATIOD,VPLATIDO,PGARANT,PVYUCOVAN,VSEMZAC,VSEMPOC,VRVCEM,VTYP,VEBODY,PPOCMIN,PPOCMAX,LANG,VYJAZYK,GUARANTORS,A,C,E,L,P,S,V,TEACHERS,FACULTY_NAME,LECTURE_RANGE_WINTER,SEMINAR_RANGE_WINTER,LECTURE_RANGE_SUMMER,SEMINAR_RANGE_SUMMER
Vybrané partie z harmonické analýzy 2,NMMA482,2024,9999,32-KMA,Nevyučován,2,1,HT,Zk,3,,Neomezená,cs,Angličtina,"[{""KOD"": ""35909"", ""PRIJMENI"": ""Slav\u00edkov\u00e1"", ""JMENO"": ""Lenka"", ""TITULPRED"": ""doc. RNDr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""Pokro\u010dilej\u0161\u00ed partie harmonick\u00e9 anal\u00fdzy. V\u00fdb\u011brov\u00e1 p\u0159edn\u00e1\u0161ka pro studenty magistersk\u00e9ho a doktorsk\u00e9ho studia.\r\n\r\n""}",,,,,"{""TITLE"":""sylabus"",""MEMO"":""V\u00e1hov\u00e9 nerovnosti pro maxim\u00e1ln\u00ed oper\u00e1tor, Littlewoodova-Paleyova teorie, posta\u010duj\u00edc\u00ed podm\u00ednky pro omezenost Fourierov\u00fdch multiplik\u00e1tor\u016f.\r\n\r\n\r\n""}","{""TITLE"":""vstupn\u00ed po\u017eadavky"",""MEMO"":""Znalost teorie m\u00edry a z\u00e1klad\u016f funkcion\u00e1ln\u00ed anal\u00fdzy v rozsahu bakal\u00e1\u0159sk\u00e9ho studia.\r\n""}",null,Matematicko-fyzikální fakulta,,,2,0
Hyperbolické systémy a zákony zachování,NMMA570,2016,9999,32-KMA,Zrušen,2,1,HT,Zk,3,,Neomezená,cs,Čeština,"[{""KOD"": ""11761"", ""PRIJMENI"": ""Rokyta"", ""JMENO"": ""Mirko"", ""TITULPRED"": ""doc. RNDr."", ""TITULZA"": ""CSc.""}]","{""TITLE"":""anotace"",""MEMO"":""Studium hyperbolick\u00fdch rovnic popisuj\u00edc\u00edch z\u00e1kony zachov\u00e1n\u00ed. Existence a jednozna\u010dnost. Slab\u00e9 \u0159e\u0161en\u00ed a \u0159e\u0161en\u00ed v m\u00edr\u00e1ch. Entropie a jednozna\u010dnost. Pro 4. a 5. ro\u010dn\u00edk a PGDS.\r\nP\u0159edn\u00e1\u0161ku lze zapsat opakovan\u011b.\r\n""}",,,,,"{""TITLE"":""sylabus"",""MEMO"":""Studium hyperbolick\u00fdch rovnic popisuj\u00edc\u00edch z\u00e1kony zachov\u00e1n\u00ed. Neexistence hladk\u00fdch \u0159e\u0161en\u00ed. Existence a jednozna\u010dnost slab\u00e9ho entropick\u00e9ho \u0159e\u0161en\u00ed. Youngovy m\u00edry, slab\u00e9 \u0159e\u0161en\u00ed a \u0159e\u0161en\u00ed v m\u00edr\u00e1ch. Entropie a jednozna\u010dnost. Pro 4. a 5. ro\u010dn\u00edk a PGDS.\r\nP\u0159edn\u00e1\u0161ku lze zapsat opakovan\u011b.\r\n\r\n""}",,null,Matematicko-fyzikální fakulta,,,2,0
Geometrické aspekty harmonické analýzy,NMMA571,2018,9999,32-KMA,Zrušen,1,1,HT,Zk,3,,Neomezená,cs,Čeština,null,"{""TITLE"":""anotace"",""MEMO"":""V modern\u00ed harmonick\u00e9 anal\u00fdze existuje \u0159ada otev\u0159en\u00fdch\r\nprobl\u00e9m\u016f u kter\u00fdch hraje kl\u00ed\u010dovou roli geometrie, kombinatorika a\r\npravd\u011bpodobnost. V t\u00e9to p\u0159edn\u00e1\u0161ce se zam\u011b\u0159\u00edme na objasn\u011bn\u00ed teorie\r\npot\u0159ebn\u00e9 k pochopen\u00ed t\u011bchto probl\u00e9m\u016f a p\u0159ehled \u010d\u00e1ste\u010dn\u00fdch v\u00fdsledk\u016f.\r\nBudeme se zab\u00fdvat mno\u017einami Kakeyova typu a sm\u011brov\u00fdmi maxim\u00e1ln\u00edmi\r\noper\u00e1tory, Bochner-Rieszov\u00fdmi oper\u00e1tory, oper\u00e1tory restrikce a\r\noper\u00e1tory s hrub\u00fdm j\u00e1drem.\r\n""}",,,,,"{""TITLE"":""sylabus"",""MEMO"":""1) Opakov\u00e1n\u00ed: L^p prostory, interpolace, Fourierova transformace,\r\nsingul\u00e1rn\u00ed oper\u00e1tory\r\n\r\n2) Kakeyova mno\u017eina, Bezikovi\u010dova konstrukce, odhady dimenze\r\n\r\n3) Maxim\u00e1ln\u00ed oper\u00e1tory a skoro v\u0161ude konvergence\r\n\r\n4) Bochner-Rieszovy oper\u00e1tory a maxim\u00e1ln\u00ed Bochner-Rieszovy oper\u00e1tory\r\n\r\n5) Restrikce Fourierovy transformace a zak\u0159iven\u00ed\r\n\r\n6) Oper\u00e1tory s hrub\u00fdm j\u00e1drem\r\n""}",,null,Matematicko-fyzikální fakulta,2,0,,
Algebry operátorů na Banachových prostorech a operátorové ideály,NMMA651,2022,9999,32-KMA,Nevyučován,1,1,HT,Zk,3,,Neomezená,cs,Angličtina,null,"{""TITLE"":""anotace"",""MEMO"":""Budeme se zab\u00fdvat Fredholmov\u00fdmi, Rieszov\u00fdmi, striktn\u011b singul\u00e1rn\u00edmi a neesenci\u00e1ln\u00edmi oper\u00e1tory na \r\nBanachov\u00fdch prostorech. Nav\u00edc se budeme zab\u00fdvat Schauderov\u00fdmi b\u00e1zemi, kter\u00e9 poslou\u017e\u00ed jako pomocn\u00fd apar\u00e1t.\r\n""}",,,,,,,null,Matematicko-fyzikální fakulta,2,0,,
Aplikovaná kryptografie 2,NMMB302,2022,9999,32-KA,Nevyučován,2,1,HT,Zk,3,,Neomezená,cs,Čeština,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]","{""TITLE"":""anotace"",""MEMO"":""Povinn\u00fd p\u0159edm\u011bt bakal\u00e1\u0159sk\u00e9ho oboru MMIB. Pokra\u010dov\u00e1n\u00ed p\u0159edm\u011btu NMMB301.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""P\u0159edm\u011bt je zakon\u010den \u00fastn\u00ed zkou\u0161kou.""}","{""TITLE"":""literatura"",""MEMO"":""Shafi Goldwasser, Mihir Bellare: Lecture Notes on Cryptography, 2008, http:\/\/cseweb.ucsd.edu\/~mihir\/papers\/gb.pdf\r\nA. Menezes, P. van Oorschot, and S. Vanstone: Handbook of Applied Cryptography, CRC Press, 1996 (http:\/\/www.cacr.math.uwaterloo.ca\/hac)\r\nW. Mao: Modern Cryptography: Theory and Practice, Prentice Hall PTR 2003\r\nDouglas R. Stinson: Cryptography - Theory and Practice, CRC Press, 1995\r\n""}","{""TITLE"":""po\u017eadavky ke kontrole studia"",""MEMO"":""Zkou\u0161ka m\u00e1 \u00fastn\u00ed formu. Jej\u00ed po\u017eadavky odpov\u00eddaj\u00ed obsahu p\u0159ednesen\u00e9 l\u00e1tky.""}","{""TITLE"":""sylabus"",""MEMO"":""Asymetrick\u00e9 kryptografick\u00e9 algoritmy - principy, pou\u017eit\u00ed.\r\nHlavn\u00ed \u0161ifrovac\u00ed algoritmy s ve\u0159ejn\u00fdm kl\u00ed\u010dem. \r\nPodpisov\u00e9 algoritmy a sch\u00e9mata, sch\u00e9mata se speci\u00e1ln\u00edmi vlastnostmi.\r\nProtokoly pro management kl\u00ed\u010d\u016f - principy, hlavn\u00ed protokoly. \r\nIdentifika\u010dn\u00ed sch\u00e9mata a protokoly - z\u00e1kladn\u00ed sch\u00e9mata, vlastnosti a vyu\u017eit\u00ed. \r\nAlgoritmy pro sd\u00edlen\u00ed tajemstv\u00ed. \r\nSpeci\u00e1ln\u00ed protokoly a sch\u00e9mata: elektronick\u00e9 platby, elektronick\u00e9 volby, traitor tracing.\r\nNetradi\u010dn\u00ed vyu\u017eit\u00ed kryptografie: h\u00e1zen\u00ed minc\u00ed, elektronick\u00fd poker, utajen\u00e9 po\u010d\u00edt\u00e1n\u00ed.""}",,null,Matematicko-fyzikální fakulta,,,2,0
Booleovské funkce,NMMB331,2020,9999,32-KA,Vyučován,1,1,HT,Zk,3,,Neomezená,cs,Angličtina,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]","{""TITLE"":""anotace"",""MEMO"":""Kurz se zab\u00fdv\u00e1 neline\u00e1rn\u00edmi vektorov\u00fdmi booleovsk\u00fdmi funkcemi.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Grading:\r\n\u2022 Final, written\/oral (60%)\r\n\u2022 3 homeworks (40%)""}","{""TITLE"":""literatura"",""MEMO"":""Textbooks: Lecture notes will be provided every week after lectures. The\r\nfollowing textbooks are going to be used.\r\n\u2022 Hall, Marshall, Jr.: Combinatorial theory. Second edition John Wiley\r\n& Sons, Inc., New York, 1986. xviii+440 pp.\r\n\u2022 van Lint, J. H., Wilson, R. M.: A course in combinatorics. Second\r\nedition Cambridge University Press, Cambridge, 2001. xiv+602 pp.\r\n\u2022 Hou, Xiang-dong: Lectures on finite fields. Grad. Stud. Math., 190\r\nAmerican Mathematical Society, Providence, RI, 2018. x+229 pp.\r\n\u2022 Stinson, Douglas R.: Combinatorial designs and cryptography, revis-\r\nited. 50 years of combinatorics, graph theory, and computing, 335\u2013357.\r\nDiscrete Math. Appl. (Boca Raton) CRC Press, Boca Raton, FL, 2020.""}","{""TITLE"":""po\u017eadavky ke kontrole studia"",""MEMO"":""Zkou\u0161ka m\u00e1 \u00fastn\u00ed formu. Jej\u00ed po\u017eadavky odpov\u00eddaj\u00ed obsahu p\u0159ednesen\u00e9 l\u00e1tky.""}","{""TITLE"":""sylabus"",""MEMO"":""Course Outline:\r\ni. Introduction (1 week)\r\nii. Bent and perfect nonlinear functions (2\u20133 weeks)\r\niii. Finite fields and polynomials over finite fields (1 week)\r\niv. Notions of equivalence for Boolean functions (1 week)\r\nv. Bent functions, Hadamard matrices and difference sets (2 weeks)\r\nvi. LFSRs (linear feedback shift registers), pseudo-noise sequences\r\n(1 week)\r\nvii. Difference sets in cyclic groups (1 week)\r\nviii. Correlation immunity, orhogonal arrays (1 week)\r\nix. Latin squares, secret sharing (1 week)\r\nx. M\u00f6bius inversion, algebraic immunity (1 week)\r\nxi. Projective planes, planar functions, semifields, quasifields (1\u20132\r\nweeks)""}",,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]",Matematicko-fyzikální fakulta,2,0,,
Bakalářské konzultace: Informační bezpečnost,NMMB349,2015,9999,32-STUD,Vyučován,3,1,HT,Z,6,,Neomezená,cs,Čeština,null,"{""TITLE"":""anotace"",""MEMO"":""Konzultace a p\u0159\u00edprava bakal\u00e1\u0159sk\u00e9 pr\u00e1ce pro zam\u011b\u0159en\u00ed Matematika pro informa\u010dn\u00ed bezpe\u010dnost  oboru Matematick\u00e9 \r\nmetody informa\u010dn\u00ed bezpe\u010dnosti. P\u0159edm\u011bt lze zapsat v zimn\u00edm i v letn\u00edm semestru.\r\n\r\nPrerekvizity se neov\u011b\u0159uj\u00ed p\u0159i z\u00e1pise tohoto p\u0159edm\u011btu, ale a\u017e p\u0159i kontrole pln\u011bn\u00ed studijn\u00edch povinnost\u00ed (prerekvizity na \r\nabsolvov\u00e1n\u00ed).\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Z\u00e1po\u010det se ud\u011bluje za doveden\u00ed bakal\u00e1\u0159sk\u00e9 pr\u00e1ce do skoro fin\u00e1ln\u00ed podoby. \r\n\r\nP\u0159edm\u011bt nen\u00ed mo\u017en\u00e9 \u00fasp\u011b\u0161n\u011b zakon\u010dit bez spln\u011bn\u00ed jeho prerekvizit. Tyto prerekvizity jsou pops\u00e1ny v Oran\u017eov\u00e9 karolince a ur\u010duj\u00ed zam\u011b\u0159en\u00ed Informa\u010dn\u00ed bezpe\u010dnost oboru Matematika pro informa\u010dn\u00ed technologie.\r\n""}",,,,,null,Matematicko-fyzikální fakulta,0,4,,
Základy spojité optimalizace,NMMB438,2021,9999,32-KA,Vyučován,2,1,HT,Z+Zk,6,,Neomezená,cs,Čeština,"[{""KOD"": ""11291"", ""PRIJMENI"": ""Hlad\u00edk"", ""JMENO"": ""Milan"", ""TITULPRED"": ""prof. Mgr."", ""TITULZA"": ""Ph.D.""}, {""KOD"": ""12426"", ""PRIJMENI"": ""Loebl"", ""JMENO"": ""Martin"", ""TITULPRED"": ""prof. RNDr."", ""TITULZA"": ""CSc.""}]","{""TITLE"":""anotace"",""MEMO"":""P\u0159ehledov\u00e1 p\u0159edn\u00e1\u0161ka pokr\u00fdvaj\u00edc\u00ed z\u00e1kladn\u00ed oblasti optimalizace, v\u010detn\u011b v\u00fdpo\u010detn\u00edch metod. Na \u00falohy spadaj\u00edc\u00ed pod tuto problematiku vede nes\u010detn\u00e9 mno\u017estv\u00ed probl\u00e9m\u016f z t\u00e9m\u011b\u0159 v\u0161ech obor\u016f lidsk\u00e9 \u010dinnosti. M\u00e1 velmi \u0161irok\u00e9 mo\u017enosti pou\u017eit\u00ed. \u00davod k dal\u0161\u00edm p\u0159edn\u00e1\u0161k\u00e1m specializovan\u00fdm na \u0159e\u0161en\u00ed jednotliv\u00fdch t\u0159\u00edd optimaliza\u010dn\u00edch \u00faloh. ""}",,,"{""TITLE"":""literatura"",""MEMO"":""L. Grygarov\u00e1: \u00davod do parametrick\u00e9ho programov\u00e1n\u00ed, Karolinum, 1994.\r\nL.Grygarov\u00e1: Z\u00e1klady v\u00edcekriteri\u00e1ln\u00edho programov\u00e1n\u00ed, Karolinum, 1996.\r\nJ. Plesnik, J. Dupa\u010dov\u00e1, M. Vlach: Line\u00e1rne programovanie, Alfa, Bratislava, 1988.""}",,"{""TITLE"":""sylabus"",""MEMO"":""Z\u00e1klady diskr\u00e9tn\u00ed optimalizace:\r\n\r\n\u00davod, p\u0159\u00edklady optimaliza\u010dn\u00edch probl\u00e9m\u016f\r\na optimaliza\u010dn\u00edch technik. Anal\u00fdza algoritm\u016f,\r\nimplementace, slo\u017eitost.\r\n\r\nEulerovsk\u00e1 proch\u00e1zka, hladov\u00fd algoritmus,\r\nnejkratsi cesta a jejich souvislosti.\r\n\r\nP\u00e1rov\u00e1n\u00ed a aplikace, souvislost s toky v s\u00edt\u00edch.\r\nHeuristiky a algoritmy, i pravd\u011bpodobnostn\u00ed, na p\u00e1rov\u00e1n\u00ed.\r\nProbl\u00e9m po\u0161\u0165\u00e1ka.\r\n\r\nProbl\u00e9m obchodn\u00edho cestuj\u00edc\u00edho (TSP): heuristiky,\r\naplikace a souvislosti\r\n\r\nPorovn\u00e1n\u00ed t\u011b\u017ek\u00fdch a polynomi\u00e1ln\u00edch probl\u00e9m\u016f: TSP,\r\nprobl\u00e9m po\u0161\u0165\u00e1ka, Euler tours, minim\u00e1ln\u00ed kostra,\r\nminim\u00e1ln\u00ed Steiner tree.\r\n\r\nZ\u00e1klady spojit\u00e9 optimalizace:\r\n\r\nKonvexn\u00ed funkce a mno\u017einy\r\n\r\nKonvexn\u00ed optimalizace\r\n\r\nKvadratick\u00e9 programov\u00e1n\u00ed\r\n\r\nKu\u017eelov\u00e9 programov\u00e1n\u00ed a dualita\r\n\r\nKarush-Kuhn-Tuckerovy podm\u00ed\u00adnky optimality\r\n\r\nZ\u00e1kladn\u00ed metody\r\n\r\nProgramov\u00e1n\u00ed s nep\u0159esn\u00fdmi daty, robustn\u00ed optimalizace\r\n""}",,null,Matematicko-fyzikální fakulta,,,2,2
Výběrový seminář z MIT,NMMB471,2023,9999,32-KA,Vyučován,2,1,HT,Z,2,,Neomezená,cs,Angličtina,"[{""KOD"": ""11465"", ""PRIJMENI"": ""Stanovsk\u00fd"", ""JMENO"": ""David"", ""TITULPRED"": ""doc. RNDr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""V\u00fdb\u011brov\u00fd semin\u00e1\u0159 na r\u016fzn\u00e1 t\u00e9mata. \r\nV letn\u00edm semestru 2023\/24: Z\u00e1klady elektrotechniky, \u010d\u00edslicov\u00e9 techniky, programov\u00e1n\u00ed mikro\u010dip\u016f\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Z\u00e1po\u010det bude ud\u011blen za aktivn\u00ed \u00fa\u010dast p\u0159i realizaci domluven\u00e9ho projektu, p\u0159\u00edpadn\u011b za referov\u00e1n\u00ed o z\u00e1kladn\u00edch konceptech na prvn\u00ed \u010d\u00e1sti semin\u00e1\u0159e.""}","{""TITLE"":""literatura"",""MEMO"":""Hradla, volty, jedno\u010dipy 1. vyd\u00e1n\u00ed, Praha 2017 Kniha vy\u0161la jako 16. publikace v Edici CZ.NIC. ISBN 978-80-88168-26-3\r\n\r\nL. Javorsk\u00fd, A. Bobek, R. Musil - Z\u00e1klady Elektrotechniky\r\n\r\nKhan Academy - Electrical engineering course""}",,"{""TITLE"":""sylabus"",""MEMO"":""LS 2023\/24 \r\nA, St\u0159eda: Z\u00e1klady elektrotechniky, \u010d\u00edslicov\u00e9 techniky, programov\u00e1n\u00ed mikro\u010dip\u016f\r\n\r\nStudenti se sezn\u00e1m\u00ed se z\u00e1klady elektrotechniky, \u010d\u00edslicov\u00e9 techniky, programov\u00e1n\u00ed mikro\u010dip\u016f a s prac\u00ed s robotick\u00fdmi komponenty. \r\nP\u0159edm\u011bt bude prob\u00edhat referativn\u00ed formou spojenou s praktickou prac\u00ed s mikro\u010dipy a obvody, v druh\u00e9 polovin\u011b semin\u00e1\u0159e se \u00fa\u010dastn\u00edci dohodnou na projektech, kter\u00e9 se v men\u0161\u00edch skupin\u00e1ch pokus\u00ed realizovat.\r\nP\u0159edm\u011bt je p\u0159ev\u00e1\u017en\u011b ur\u010den pro z\u00e1jemce, kte\u0159\u00ed se b\u011bhem studia nem\u011bli mo\u017enost s touto problematikou setkat.\r\n\r\n1. Z\u00e1klady elektrotechniky (proud, nap\u011bt\u00ed, Ohm\u016fv z\u00e1kon, nap\u00e1jen\u00ed, ide\u00e1ln\u00ed zdroje, ...)\r\n\r\n2. Sezn\u00e1men\u00ed se z\u00e1kladn\u00edmi elektronick\u00fdmi komponenty (Diody, tranzistory, rezistory, kondenz\u00e1tory, ...)\r\n\r\n2. \u00davod do \u010d\u00edslicov\u00e9 techniky (V\u00fdrokov\u00e1 logika, Kombina\u010dn\u00ed a sekve\u010dn\u00ed obvody, ...)\r\n\r\n3. Programov\u00e1n\u00ed pro mikrokontrolery a mikroprocesory (Arduino, Raspberry pi, esp8266, ...)\r\n\r\n3. Spole\u010dn\u00e1 pr\u00e1ce na projektu\r\n""}",,"[{""KOD"": ""64736"", ""PRIJMENI"": ""St\u0159eda"", ""JMENO"": ""Adolf"", ""TITULPRED"": ""Mgr."", ""TITULZA"": null}]",Matematicko-fyzikální fakulta,,,0,2
Matematické modelování bezpečnosti,NMMB473,2021,9999,32-KA,Vyučován,3,1,HT,Z,2,,Neomezená,cs,Angličtina,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]","{""TITLE"":""anotace"",""MEMO"":""Na semin\u00e1\u0159i se budou objevovat nejr\u016fzn\u011bj\u0161\u00ed t\u00e9mata souvisej\u00edc\u00ed s matematick\u00fdm modelov\u00e1n\u00edm bezpe\u010dnosti, \r\np\u0159edev\u0161\u00edm t\u00e9 informa\u010dn\u00ed. Z\u00e1kladem semin\u00e1\u0159e budou s\u00e9rie p\u0159edn\u00e1\u0161ek extern\u00edch spolupracovn\u00edk\u016f z praxe.\r\n""}",,,,,"{""TITLE"":""sylabus"",""MEMO"":""A) Bohuslav Rudolf (N\u00daKIB) (3 p\u0159edn\u00e1\u0161ek):\r\n\r\nP\u016fjde o fyzik\u00e1ln\u011b zalo\u017een\u00fd semin\u00e1\u0159 o kvantov\u00fdch informac\u00edch.\r\n1) Prehistorie kvantov\u00e9 mechaniky\r\n2) Polarizace sv\u011btla a polarizace fotonu, qubit\r\n3) Fotony, m\u011b\u0159en\u00ed polarizace a paradoxn\u00ed experimenty\r\n4) Protokol BB84, v\u00fdvoj kvantov\u00e9ho stavu a ko\u010dka v krabici\r\n5) Polarizace fotonu a kvantov\u00e9 po\u010d\u00edt\u00e1n\u00ed\r\n6) Simon\u016fv kvantov\u00fd algoritmus a kryptoanal\u00fdza v kvantov\u00fdch s\u00edt\u00edch\r\n7) Entanglement, sm\u00ed\u0161en\u00e9 stavy, kvantov\u00e1 entropie a nelok\u00e1lnost v kvantov\u00e9 mechanice\r\n\r\n*****\r\n\r\nB) Tom\u00e1\u0161 Rosa + Ji\u0159\u00ed Pavl\u016f (Raiffeisenbank) (6 p\u0159edn\u00e1\u0161ek):\r\n\r\nBudeme se v\u011bnovat aktu\u00e1ln\u00edm a zaj\u00edmav\u00fdm aspekt\u016fm po\u010d\u00edta\u010dov\u00e9 i obecn\u011b bezpe\u010dnosti a bankovn\u00edch podvod\u016f. Vhodn\u00e9 pro studenty, kte\u0159\u00ed si cht\u011bj\u00ed roz\u0161\u00ed\u0159it sv\u016fj obzor a l\u00e1kaj\u00ed je ot\u00e1zky s bezpe\u010dnostn\u00ed t\u00e9matikou, ve kter\u00fdch mohou uplatnit sv\u016fj potenci\u00e1l.\r\n\r\nOkruhy p\u0159edn\u00e1\u0161ek:\r\n\r\n1) pragmatick\u00e1 kryptografie a praktick\u00e1 kryptoanal\u00fdza\r\n2) postkvantov\u00e9 (PQC) algoritmy realisticky (e.g., Falcon)\r\n3) \u00fatoky na po\u010d\u00edta\u010dov\u00fd HW a opera\u010dn\u00ed syst\u00e9my\r\n4) radioelektronick\u00fd boj\r\n\r\n\r\n*****\r\n\r\nC) Miroslava Sotakova (ex Google, New York City) (2 p\u0159edn\u00e1\u0161ek):\r\n\r\nAko zarabat na cielenej reklame bez toho, aby sme sa dozvedeli prilis vela o uzivatelovi.\r\n\r\n*****\r\n\r\nD) Faruk G\u00f6loglu (zbyl\u00fd \u010das):\r\n\r\nVybran\u00e1 videa na t\u00e9ma modelov\u00e1n\u00ed bezpe\u010dnosti.""}",,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}, {""KOD"": ""10895"", ""PRIJMENI"": ""Rosa"", ""JMENO"": ""Tom\u00e1\u0161"", ""TITULPRED"": ""Ing."", ""TITULZA"": ""Ph.D.""}, {""KOD"": ""11171"", ""PRIJMENI"": ""Rudolf"", ""JMENO"": ""Bohuslav"", ""TITULPRED"": ""RNDr."", ""TITULZA"": null}]",Matematicko-fyzikální fakulta,0,2,,
Doktorandský seminář z kryptologie,NMMB621,2024,9999,32-KA,Vyučován,3,1,HT,Z,3,,Neomezená,cs,Angličtina,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]","{""TITLE"":""anotace"",""MEMO"":""Refer\u00e1ty o nejnov\u011bj\u0161\u00edch poznatc\u00edch z kryptologie Zkoum\u00e1n\u00ed aktu\u00e1ln\u00edch probl\u00e9m\u016f v t\u00e9to oblasti.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Podm\u00ednkou je aktivn\u00ed \u00fa\u010dast na semin\u00e1\u0159i v\u010detn\u011b refer\u00e1tu na z\u00e1klad\u011b zadan\u00e9 publikace.""}",,,"{""TITLE"":""sylabus"",""MEMO"":""Refer\u00e1ty o nejnov\u011bj\u0161\u00edch poznatc\u00edch z kryptologie Zkoum\u00e1n\u00ed aktu\u00e1ln\u00edch probl\u00e9m\u016f v t\u00e9to oblasti.\r\n""}",,"[{""KOD"": ""50002"", ""PRIJMENI"": ""G\u00f6loglu"", ""JMENO"": ""Faruk"", ""TITULPRED"": ""doc."", ""TITULZA"": ""Dr. rer. nat.""}]",Matematicko-fyzikální fakulta,0,2,,
Nelineární diferenciální rovnice a nerovnice 2,NMMO534,2023,9999,32-MUUK,Nevyučován,2,1,HT,Z+Zk,6,,Neomezená,cs,Čeština,"[{""KOD"": ""11512"", ""PRIJMENI"": ""Bul\u00ed\u010dek"", ""JMENO"": ""Miroslav"", ""TITULPRED"": ""doc. RNDr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""Pseudomonot\u00f3nn\u00ed a monot\u00f3nn\u00ed oper\u00e1tory, mnohozna\u010dn\u00e9 oper\u00e1tory a aplikace na neline\u00e1rn\u00ed parabolick\u00e9 parci\u00e1ln\u00ed diferenci\u00e1ln\u00ed rovnice a nerovnice. ""}","{""TITLE"":""c\u00edl p\u0159edm\u011btu"",""MEMO"":""Nau\u010dit studenty alespo\u0148 trochu neline\u00e1rn\u00ed diferenci\u00e1ln\u00ed rovnice a nerovnice\r\n""}","{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""P\u0159edm\u011bt je zakon\u010den \u00fastn\u00ed zkou\u0161kou z l\u00e1tky probran\u00e9 b\u011bhem semestru. Z\u00e1po\u010det se ud\u011bluje za aktivn\u00ed \u00fa\u010dast na cvi\u010den\u00ed.""}","{""TITLE"":""literatura"",""MEMO"":""T.Roub\u00ed\u010dek: Nonlinear differenctial equations with applications. Birkhauser, Basel, 2005.""}",,"{""TITLE"":""sylabus"",""MEMO"":""Navazuje na p\u0159edn\u00e1sku NDIR042 a po presentaci pomocn\u00e9ho apar\u00e1tu z teorie Bochnerov\u00fdch prostor\u016f fukc\u00ed s hodnotami v Banachov\u00fdch prostorech a Aubin-Lionsovy v\u011bty m\u00e1 analogickou strukturu. Krom Galerkinovy metody je ov\u0161em presentov\u00e1na i Rotheova metoda \u010dasov\u00e9 semidiskretizace. Abstraktn\u00ed po\u010d\u00e1te\u010dn\u00ed \u010di periodick\u00e9 \u00falohy jsou aplikov\u00e1ny na po\u010d\u00e1te\u010dn\u00ed (\u010di periodick\u00e9) a okrajov\u00e9 \u00falohy pro konkr\u00e9tn\u00ed kvazi- \u010di semi-line\u00e1rn\u00ed parabolick\u00e9 parci\u00e1ln\u00ed diferenci\u00e1ln\u00ed rovnice \u010di nerovnice. Jsou t\u00e9\u017e prob\u00edr\u00e1ny \""dvojit\u011b neline\u00e1rn\u00ed\"" \u00falohy (tj. s nelinearitou i v \u010dasov\u00e9 derivaci).\r\n""}",,null,Matematicko-fyzikální fakulta,,,3,1
