"STUDY_PROGRAMME_ID","NAME_CS","NAME_EN","FACULTY_ID","P_TYPE","P_FORM","GRADUATE_PROFILE_CS","GRADUATE_PROFILE_EN","JAZYK"
B0542A170001,Finanční matematika,Financial Mathematics,"11320",B,D,"Bakalář finanční matematiky zná základní teoretické partie matematiky (algebra a kalkulus, pravděpodobnost astatistika, optimalizace) a ovládá aplikace matematických metod v pojišťovnictví a financích. Absolvent programu zvládá výpočetní aspekty těchto metod a má praktické znalosti potřebné pro orientaci v prostředí finančních institucí a státní správy. Studijní obor poskytuje soudobé teoretické a praktické poznatky umožňující absolventovi pokračovat v navazujícím magisterském studiu nebo zastávat analytickou či manažerskou pozici,
zejména v bankách a pojišťovnách "," The bachelor in financial mathematics knows basic theoretical fields of mathematics (algebra, calculus, probability and statistics, optimization) and applications of mathematical methods to insurance and finance. The graduate has mastered computational aspects of these methods and has obtained practical skills necessary for orientation in financial environment and government administration. The programme provides modern theoretical and practical knowledge allowing the graduate to study in a follow-up master program or hold an analytical or managerial position, mainly in banks and insurance companies.",CS
P0541D170015,Matematická analýza,Mathematical analysis,"11320",D,E,"Absolvent získal hluboké teoretické znalosti a praktické dovednosti technik pokročilé matematické analýzy. Je schopen řešit komplikované problémy vyžadující hluboké analytické myšlení. Je schopen problém správně pochopit, navrhnout optimální způsob jeho řešení, a toto řešení pak správně a efektivně provést. Může nalézt uplatnění v jakémkoli oboru lidské činnosti, který vyžaduje schopnost analytického myšlení, ve výzkumu a vývoji v přírodních, aplikovaných a společenských vědách nebo v komerční i akademické sféře doma i v zahraničí.
","The graduate has gained deep theoretical knowledge as well as practical skills of techniques of advanced mathematical analysis. He/She is capable of solving difficult problems requiring analytical mind. He/She is able to understand a given task well, to suggest an optimal method of solution and finally to carry out the solution. He/She can be a significant asset to any field of human activity which requires the ability of analytical thinking, for example in science and research in natural, applied or social sciences, in both academic and commercial sphere, home or abroad.
",CS
N0541A170023,"Pravděpodobnost, matematická statistika a ekonometrie se specializací Ekonometrie","Probability, Mathematical Statistics and Econometrics with specialisation in Econometrics","11320",N,D,"Absolvent studijního programu Pravděpodobnost, matematická statistika a ekonometrie má pokročilé znalosti v základních oblastech matematiky náhody (teorie pravděpodobnosti, matematická statistika, optimalizace), rozumí jejich vzájemným souvislostem, jakož i souvislostem s dalšími matematickými obory. Je schopen aplikovat pokročilé teoretické metody při řešení konkrétních problémů. Je připraven na vysoce kvalifikovanou práci v různých odvětvích (ekonomika, technika, finanční sféra, přírodní i humanitní vědy) i na doktorské studium. 
Absolvent specializace Ekonometrie má navíc hluboké znalosti v oblasti optimalizace a statistických metod pro analýzu ekonomických dat. ","A graduate of the study program Probability, Mathematical Statistics and Econometrics has advanced knowledge in basic areas of mathematics of chance (probability theory, mathematical statistics, optimization) and understands their mutual connections, including connections to other areas of mathematics. He or she is able to apply advanced theoretical methods to solving particular problems. He or she is prepared for a highly qualified work as a specialist in diverse areas (economics, technics, finance, science and humanities) and also for a PhD study as well.
Next to that a graduate of the specialization Econometrics has advanced knowledge of optimization and of statistical methods used to model data common in economics and finance. ",CS
P0533D110014,Fyzika plazmatu a ionizovaných prostředí,Physics of Plasmas and Ionized Media,"11320",D,E,"Obor připravuje odborníky se širokým základem v matematice, fyzice a počítačovém modelování fyzikálních procesů a zároveň s hlubokými znalostmi z fyziky plazmatu. Studium zahrnuje i hraniční disciplíny jako je plazmo-chemie, interakce plazmatu s povrchem pevné látky a komplexní plazma. Absolvent ovládá teoretické i experimentální metody, které díky schopnosti abstraktního a tvořivého myšlení využívá i v jiných oborech zaměřených na základní a aplikovaný výzkum na vysokých školách, ve vědeckých ústavech a technologických centrech, ale také v průmyslové sféře. 
","The graduate becomes expert with a broad fundamental knowledge in mathematics, physics and computer modelling of physical processes and with a deep understanding of plasma physics. The study includes closely related topics as plasma chemistry, interaction of plasmas with solid surfaces, and complex plasmas. The graduate is experienced in theoretical and experimental methods of plasma physics that can be applied, due to his/her ability of abstract and creative thinking, in a number of other disciplines of both fundamental or applied research at universities, in scientific institutes and technological centres as well as in the industrial sector.
",CS
B0613A140006,"Informatika se specializací Počítačová grafika, vidění a vývoj her","Computer Science with specialisation in Computer Graphics, Vision and Game Development","11320",B,D,"V rámci specializace si student zvolil jedno z možných zaměření fotorealistická grafika, počítačové vidění, vývoj počítačových her. Fotorealistická grafika: Absolvent se uplatní při návrhu a vývoji vizuálních efektů a fotorealistického renderingu v postprodukčních týmech, architektonické vizualizaci, vývoji realistických herních enginů a shaderů. Počítačové vidění: Absolvent se uplatní všude tam, kde se využívá digitální zpracování obrazu a počítačové vidění. Vývoj počítačových her: Absolvent se uplatní při vývoji počítačových her na mnoha úrovních - jako programátor, při návrhu obsahu a logiky hry nebo herní umělé inteligence. ","The graduate has chosen one of the following sub-specializations: photo-realistic graphics, computer vision, computer game development. Photo-realistic graphics: A graduate can work on visual effects design and development, on photo-realistic rendering in post-production teams, on architectural visualizations, and on realistic game engine and shader development. Computer vision: A graduate can work in all those positions where digital image processing and computer vision is used. Computer game development: A graduate can work in the development of computer games on many levels - as a programmer, in the design of game content and logic, or game artificial intelligence.
",CS
P0541D170019,"Algebra, teorie čísel a matematická logika","Algebra, number theory, and mathematical logic","11320",D,E,"Absolventi mají pokročilé znalosti z moderní algebry, matematické logiky a teorie čísel,ověřené úspěšně složenou státní doktorskou zkouškou.  Jsou schopni využívat nové vědecké poznatky a aplikovat a rozvíjet je při řešení konkrétních problémů. Jsou také schopni systematické vědecké práce, včetně publikování a prezentace dosažených výsledků v odborných časopisech a na mezinárodních vědeckých konferencích. Významná  část jejich doktorské dizertace je publikována v odborném časopise. Mají výborné předpoklady  k akademické dráze na univerzitách a výzkumných institucích v ČR i v zahraničí , ale i ve firmách s potřebou aplikovaného výzkumu a vývoje.
","The graduates have advanced knowledge of contemporary algebra, mathematical logic and number theory, verified by successfuly passing the state doctoral exam. They are able to make use of recent scientific achievements and develop and apply them to solutions of concrete problems. They are also able to do systematic research, including publication and presentation of their results in research journals and at international conferences. A substantiv part of their Dissertation has been published in a research journal. They have the capacity to start a successful  academic careeer at universities and research institutions both in the Czech Republic and abroad, but also work in R&D departments of various companies worldwide.
",CS
P0688D140010,Bioinformatika a výpočetní biologie,Bioinformatics and computational biology,"11320",D,E,"Absolvent má znalosti z klíčových oblastí informatiky, molekulární biologie a bioinformatiky. Tyto znalosti je schopen integrovat a systematicky aplikovat při analýze komplexních problémů zahrnujících různé modality, např. v oblasti biotechnologií či medicíny. Absolvent umí takové doménově specifické problémy abstrahovat a navrhovat jejich řešení. Absolvent má zkušenosti se zpracováním velkých souborů heterogenních dat a je schopen navrhovat inovativní přístupy pro analýzu takových souborů dat. Vzhledem k dynamickému vývoji v oboru je absolvent schopen flexibilně reagovat na nové poznatky a postupy a aplikovat je ve stávajících i nových řešeních.","The graduate understands of key areas of computer science, molecular biology, and bioinformatics. She/he can integrate and systematically apply them in the analysis of complex problems, e.g., in the field of biotechnology or medicine, involving various modalities. Subsequently, she/he can abstract these problems and propose solutions. The graduate has experience with processing and analysis of large heterogeneous data and is able to design innovative solutions over such data. Due to the dynamic nature of the field, the graduate is able to flexibly apply new knowledge and procedures in both existing and new solutions.",CS
N0533A110014,Částicová a jaderná fyzika,Particle and Nuclear Physics,"11320",N,D,"Absolventi mají pokročilé znalosti částicové a jaderné fyziky, a to jak v experimentální, tak v teoretické oblasti. Ovládají kvantovou teorii, rozumí základním přístupům k popisu mikrosvěta a znají experimentální techniky jeho studia. Nacházejí uplatnění především v základním experimentálním a teoretickém výzkumu, ale také v relevantním aplikovaném výzkumu, např. ve fyzice detektorů, nukleární medicíně apod. Absolventi jsou připraveni tvůrčím způsobem rozvíjet oblast svého odborného zaměření a začlenit se do mezinárodních výzkumných týmů. Zběhlost v práci s pokročilými softwarovými nástroji otevírá možnost uplatnění např. v oblasti informačních technologií.
","The graduates have advanced knowledge of particle and nuclear physics, in both experimental and theoretical domains. They comprehend quantum theory, understand basic approaches to the description of microworld and manage experimental techniques of its study. They find employment mainly in fundamental experimental and theoretical research, but also in relevant applied research, e.g., in detector physics, nuclear medicine etc. The graduates are prepared to creatively develop the field of their scientific focus and to join international research teams. Experience in application of advanced software tools opens possibilities for employment e.g. in information technologies.
",CS
P0541D170013,Obecné otázky matematiky a informatiky,General Questions of Mathematics and Computer Science,"11320",D,E,"Absolvent je vybaven odbornými znalostmi vysokoškolské matematiky/informatiky, orientuje se v historii příslušné disciplíny. Rozšířil a prohloubil své znalosti získané v navazujícím magisterském studiu o další poznatky odpovídající zaměření jeho disertační práce. Je rovněž dobře obeznámen s nejdůležitějšími metodami ve výuce matematiky/informatiky.
","The graduate possesses a knowledge of university mathematics/computer science, and is familiar with the history of the subject. His/her skills acquired in the master's program have been deepened and extended in the area related to his/her dissertation thesis. The graduate is also acquainted with the most important methods in the education of mathematics/computer science.",CS
N0541A170017,Matematika pro informační technologie,Mathematics for Information Technologies,"11320",N,D,"Absolvent má velmi pokročilé znalosti algebry, geometrie, logiky a jejich aplikací v IT. Umí je používat při řešení pokročilých problémů matematické informační bezpečnosti a počítačové geometrie a grafiky. Absolvent zaměřený na matematiku pro  informační bezpečnost se orientuje v současných i perspektivních systémech ochrany a utajování dat. Absolvent zaměřený na počítačovou geometrii a grafiku má rozsáhlé geometrické a algebraické znalosti použitelné pro zpracování geometrické a obrazové informace. Absolventi naleznou uplatnění ve firmách vyvíjejících specializované aplikace v nejrůznějších oblastech informačních technologií, kde je potřeba zvládat a využívat nové poznatky a rozsáhlé datové systémy. Možná je také akademická dráha.
","Graduates have a broad knowledge of advanced algebra, geometry, logic, and their applications in IT, and can use it to solve advanced problems of mathematical information security and computer geometry. Graduates specializing in Mathematics for Information Security are well-acquainted with both present and prospective systems of data security and encryption. Graduates specializing in Computer Geometry have a deep knowledge of algebra and geometry, subjects that are applied in information technologies processing geometric information and data. The graduates are well-prepared for various jobs in information technologies where understanding and processing new knowledge and big data is needed. They are also prepared for an academic career.
",CS
P0541D170012,Matematické a počítačové modelování,Mathematical and computer modeling,"11320",D,D,"Držitel diplomu absolvoval program doktorského studia, který je kombinovaný mezi matematikou a klasickou fyzikou, a je zaměřen na modelování ve fyzice pevných látek, kapalin  a plynů, případně s aplikacemi ve vědě o materiálech, geofyzice, biologii a v lékařství. Podle zaměření doktorské dizertační práce se student věnoval tvorbě a vlastnostem modelů mechaniky a termodynamiky tekutin a tuhých látek, související matematickou a numerickou analýzou odpovídajících systémů parciálních diferenciálních rovnic či jejich numerickému řešení. Absolventi tohoto programu vykazují dobré znalosti v  matematické a numerické analýze, v klasické fyzice a v aplikacích numerických metod a umí problémy reálného světa formulovat, analyzovat a numericky řešit.
","The holder of the diploma graduated from the doctoral study of a program which is combined between mathematics and classical physics and is directed to modelling in the physics of solids, liquids and gases with possible applications in the material science, geophysics, biology or medicine. Due to the content of the doctoral thesis the student dealt with creation or properties of models in mechanics and thermodynamics of fluids and solids, the connected mathematical or numerical analysis of the corresponding systems of partial differential equations or their numerical solution. The graduates of this program have good knowledge of mathematical and numerical analysis, classical physics and applications of numerical methods, and are able to fomulate, analyze and numerically solve real world problems.
",CS
B0114A110001,Fyzika se zaměřením na vzdělávání se sdruženým studiem Matematika se zaměřením na vzdělávání,Physics for Teacher Education with double curriculum study Mathematics for Teacher Education,"11320",B,D,"
","
",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství deskriptivní geometrie pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of Descriptive Geometry for Upper Secondary Schools,"11320",N,D,"
","
",CS
N0533A110012,Biofyzika a chemická fyzika se specializací Teoretická biofyzika a chemická fyzika,Biophysics and Chemical Physics with specialisation in Theoretical Biophysics and Chemical Physics,"11320",N,D,"Absolvent má znalosti z kvantové teorie a statistické fyziky molekul a molekulárních systémů, vedle toho i z experimentálních metod biofyziky a chemické fyziky, zejména optických a dalších spektroskopických metod, strukturní analýzy a zobrazovacích technik. Výběrem povinně volitelných předmětů a diplomové práce dosáhne hlubšího vzdělání v oblasti kvantové chemie, molekulární dynamiky či pokročilé teoretické spektroskopie. Prostřednictvím pravidelných seminářů získají studenti představu o současných problémech řešených v jednotlivých oborech a o metodách vědecké práce. Nabyté vzdělání nabízí absolventům uplatnění i v mezioborových týmech zabývajících se fyzikou, biologií, chemií, medicínou, materiálovým výzkumem, bio- a nano-technologiemi či farmacií.","The graduate has knowledge of quantum theory and statistical physics of molecules and molecular systems and also of experimental methods of biophysics and chemical physics, especially optical and other spectroscopic methods, structural analysis and imaging techniques. By selecting curriculum and diploma theses will gain deeper education in the field of quantum chemistry, molecular dynamics or advanced theoretical spectroscopy. Through regular seminars the students will get an idea of the current problems solved in individual fields and methods of scientific work. The acquired education offers graduates the opportunity to apply in interdisciplinary teams dealing with physics, biology, chemistry, medicine, material research, bio- and nano-technologies or pharmacies.",CS
N0114A110003,Učitelství fyziky pro střední školy se sdruženým studiem Učitelství matematiky pro střední školy,Teacher Education of Physics for Upper Secondary Schools with double curriculum study Teacher Education of Mathematics for Upper Secondary Schools,"11320",N,D,"
","
",CS
P0541D170015,Matematická analýza,Mathematical analysis,"11320",D,D,"Absolvent získal hluboké teoretické znalosti a praktické dovednosti technik pokročilé matematické analýzy. Je schopen řešit komplikované problémy vyžadující hluboké analytické myšlení. Je schopen problém správně pochopit, navrhnout optimální způsob jeho řešení, a toto řešení pak správně a efektivně provést. Může nalézt uplatnění v jakémkoli oboru lidské činnosti, který vyžaduje schopnost analytického myšlení, ve výzkumu a vývoji v přírodních, aplikovaných a společenských vědách nebo v komerční i akademické sféře doma i v zahraničí.
","The graduate has gained deep theoretical knowledge as well as practical skills of techniques of advanced mathematical analysis. He/She is capable of solving difficult problems requiring analytical mind. He/She is able to understand a given task well, to suggest an optimal method of solution and finally to carry out the solution. He/She can be a significant asset to any field of human activity which requires the ability of analytical thinking, for example in science and research in natural, applied or social sciences, in both academic and commercial sphere, home or abroad.
",CS
P0541D170010,Numerická a výpočtová matematika,Computational mathematics,"11320",D,D,"Absolvent získal hluboké teoretické znalosti a praktické dovednosti pro numerické řešení matematických problémů popisujících různé přírodní, technické a společenské jevy.  Absolvent je schopen pro daný problém navrhnout optimální způsob řešení zahrnující volbu vhodné metody a její efektivní algoritmizaci. Tuto metodu dokáže analyzovat a provést vlastní implementaci na počítačích. Výstupy metod pak umí správně interpretovat a následně navrhnout případnou úpravu metod. Je schopen též vyhodnotit možnosti a slabiny uvažovaných přístupů. Absolvent je též schopen posoudit vhodnost použití metod a implementací v aplikačním softwaru.
","The graduate gained deep theoretical knowledge and practical skills for the numerical solution of mathematical problems describing various natural, technical or social phenomena. He/she is able to propose an optimal solution approach for the given problem, including the choice of a suitable method as well as its efficient algorithmization. The graduate is able to analyze the chosen method and to implement it on computers. He/she is able to evaluate the outputs of the computational process and consequently propose suitable modifications of the applied technique. The graduate can recognize the limits and weaknesses of the approaches used and assess the suitability of methods and implementations in application software.
",CS
N0541A170023,"Pravděpodobnost, matematická statistika a ekonometrie se specializací Pravděpodobnost","Probability, Mathematical Statistics and Econometrics with specialisation in Theory of Probability","11320",N,D,"Absolvent studijního programu Pravděpodobnost, matematická statistika a ekonometrie má pokročilé znalosti v základních oblastech matematiky náhody (teorie pravděpodobnosti, matematická statistika, optimalizace), rozumí jejich vzájemným souvislostem, jakož i souvislostem s dalšími matematickými obory. Je schopen aplikovat pokročilé teoretické metody při řešení konkrétních problémů. Je připraven na vysoce kvalifikovanou práci v různých odvětvích (ekonomika, technika, finanční sféra, přírodní i humanitní vědy) i na doktorské studium. 

V případě specializace Pravděpodobnost má absolvent navíc rozsáhlé znalosti v klasických i moderních partiích teorie pravděpodobnosti. Do hloubky rozumí matematickým vlastnostem modelů pro náhodné procesy pro časové a prostorové události. ","A graduate of the study program Probability, Mathematical Statistics and Econometrics has advanced knowledge in basic areas of mathematics of chance (probability theory, mathematical statistics, optimization) and understands their mutual connections, including connections to other areas of mathematics. He or she is able to apply advanced theoretical methods to solving particular problems. He or she is prepared for a highly qualified work as a specialist in diverse areas (economics, technics, finance, science and humanities) and also for a PhD study as well.

Next to that a graduate of the specialization Theory of Probability has advanced knowledge in classic and modern topics of the probability theory. He/she understands the mathematical properties of models for random processes in time and/or space. ",CS
P0542D170001,"Pravděpodobnost a statistika, ekonometrie a finanční matematika","Probability and statistics, econometrics and financial mathematics","11320",D,E,"Absolventi mají pokročilé vědomosti z teorie pravděpodobnosti, matematické statistiky a optimalizace, vycházející z abstraktní matematiky. Jsou schopni využívat nové vědecké poznatky,  matematické metody a moderní výpočetní postupy, rozvíjet je s ohledem na řešený problém a kriticky je hodnotit. Jsou předurčeni k systematické analytické práci, mají schopnosti publikovat dosažené výsledky a prezentovat je na mezinárodních vědeckých konferencích. Jsou vychováni k akademické dráze na univerzitách a ve výzkumných institucích, též ve firmách s potřebou aplikovaného výzkumu a vývoje. Se znalostmi ekonomie jsou vedeni ke konstruování ekonometrických modelů, zvládají modelování a řízení složitých ekonomických systémů včetně finančních a pojistných projektů.
","The graduates have advanced knowledge in probability theory, mathematical statistics and optimization, based on abstract mathematics. They are able to make use of new scientific achievements, mathematical methods and modern computational tools, develop and critically evaluace them. They are educated to a systematic analytical work and capable of publishing their results, presenting them at international conferences and meetings. The graduates are recommended for an academic career at universities and scientific institutes, also in companies with a need of applied research and development. Those oriented to economical background are lead to the construction of econometric models, they manage modeling and control of complex economical systems including financial and insurance projects.
",CS
P0533D110014,Fyzika plazmatu a ionizovaných prostředí,Physics of Plasmas and Ionized Media,"11320",D,D,"Obor připravuje odborníky se širokým základem v matematice, fyzice a počítačovém modelování fyzikálních procesů a zároveň s hlubokými znalostmi z fyziky plazmatu. Studium zahrnuje i hraniční disciplíny jako je plazmo-chemie, interakce plazmatu s povrchem pevné látky a komplexní plazma. Absolvent ovládá teoretické i experimentální metody, které díky schopnosti abstraktního a tvořivého myšlení využívá i v jiných oborech zaměřených na základní a aplikovaný výzkum na vysokých školách, ve vědeckých ústavech a technologických centrech, ale také v průmyslové sféře. 
","The graduate becomes expert with a broad fundamental knowledge in mathematics, physics and computer modelling of physical processes and with a deep understanding of plasma physics. The study includes closely related topics as plasma chemistry, interaction of plasmas with solid surfaces, and complex plasmas. The graduate is experienced in theoretical and experimental methods of plasma physics that can be applied, due to his/her ability of abstract and creative thinking, in a number of other disciplines of both fundamental or applied research at universities, in scientific institutes and technological centres as well as in the industrial sector.
",CS
P0533D110028,Fyzika kondenzovaných látek a materiálový výzkum,Physics of Condensed Matter and Materials Research,"11320",D,D,"Absolvent tohoto programu je odborník připravený pro samostatnou vědeckou práci v základním i aplikovaném výzkumu v oblastech studia fyzikálních vlastností kondenzovaných látek a materiálů. Má hluboké znalosti odpovídajících teoretických přístupů (kvantová teorie, termodynamická a statistická fyzika) a jejich aplikací v teoretické a experimentální fyzice kondenzovaných soustav. Je seznámen s moderními experimentálními metodami a technologickými postupy. Velmi dobře se uplatňuje na pracovištích základního fyzikálního, materiálového, chemického a biomedicínského výzkumu a na vysokých školách uvedeného zaměření, ale i jako vedoucí odborník v laboratořích aplikovaného materiálového výzkumu a vývoje nebo průmyslových zkušebních laboratořích.","The graduate of this doctoral program is a specialist qualified for independent scientific work in basic and applied research in the field of study of physical properties of condensed matter and material research. He has a deep knowledge of relevant theoretical approaches (quantum theory, thermodynamic and statistical physics) and their application in theoretical and experimental physics of condensed systems. He is acquainted with modern experimental methods and technological processes. He is fully qualified for work in physical, material, chemical and biomedical research institutions and universities but also as a leader in laboratories of applied material research and development or in testing laboratories in industry.",CS
B0613A140006,Informatika,Computer Science,"11320",B,D,,,CS
B0613A140006,Informatika se specializací Obecná informatika,Computer Science with specialisation in General Computer Science,"11320",B,D,"Absolvent má důkladné matematické základy, široký přehled různých oblastí informatiky s důrazem na pochopení fundamentálních principů a rozsáhlou škálu praktických programátorských dovedností. Zná různé algoritmy a datové struktury, ovládá programátorské postupy a umí je aplikovat při analýze složitých problémů a jejich řešení realizovat v různých programovacích jazycích. Absolvent je dobře připraven na navazující magisterské studium informatiky na naší fakultě i jinde. Disponuje navíc již po ukončení bakalářského studia dostatečnými znalostmi a dovednostmi pro uplatnění v praxi. Zde může působit na jakékoliv pozici vyžadující logické myšlení nebo může zastávat místo programátora.","The graduate has solid mathematical foundations, broad understanding of different areas of computer science with an emphasis on understanding fundamental principles, and an extensive spectrum of practical programming skills. He/she knows various algorithms and data structures and programming methods and is capable of applying them to analyze complex problems and to write solutions to such problems in various programming languages. A graduate is well prepared for continuing in a master level program at our faculty or elsewhere. Moreover, he/she possesses sufficient knowledge and skills for practical employment at any position requiring logical thinking and programming skills.",CS
B0613A140006,Informatika se specializací Programování a vývoj software,Computer Science with specialisation in Programming and Software Development,"11320",B,D,"Absolvent studia je specialistou v oblasti analýzy, návrhu a všech fází vývoje software. Bude platným a ceněným členem jak malých vývojových týmů, tak i velkých mezinárodních společností. Má hluboké znalosti softwarových, hardwarových a síťových architektur a technologií a dokáže je aplikovat v rozsáhlých systémech. Absolvent má dobrý přehled o zásadních teoriích, metodách a postupech informatiky a matematiky a jejich aplikacích, je schopen rychle vstřebávat nové poznatky a technologie. To mu poskytuje výborné předpoklady pro absolvování navazujícího magisterského studia informatiky.","The graduate is a specialist in software analysis, design, and all phases of its development. He/she will become a valuable member of software development teams, both small teams and large international teams. He/she has deep knowledge of software, hardware, and network architectures and technologies and is capable of applying it to complex systems. A graduate has a good understanding of principal theories, methods, and processes in computer science and mathematics and its applications. He/she is able to rapidly digest new findings and technologies. All of this gives him/her an excellent qualification for a successful study of computer science on a master level.",CS
B0613A140006,Informatika se specializací Webové a datově orientované programování,Computer Science with specialisation in Web and Data Oriented Programming,"11320",B,D,"Absolvent je specialistou v návrhu a vývoji software orientovaného (nejen) na zpracování dat, internetových aplikací a webových služeb. Je schopen se orientovat v různých webových architekturách a platformách databázových systémů, je také připraven na práci datového analytika, a to v doménách multimediálních, relačních i nerelačních velkých dat, sociálních sítí. Má dostatečný základ vědomostí pro navazující magisterské studium informatiky.","The graduate is a specialist in the design and development of software geared among others at data processing, internet applications, and web services. He/she is capable of navigating in various web architectures and database system platforms, and is also prepared for the job of a data analyst in multimedia domains, in relational and non-relational big data, and in social networks. A graduate possesses sufficient knowledge needed for a successful continuing study of computer science on a master level.",CS
B0613A140006,Informatika se specializací Webové a datově orientované programování,Computer Science with specialisation in Web and Data Oriented Programming,"11320",B,D,"Absolvent je specialistou v návrhu a vývoji software orientovaného (nejen) na zpracování dat, internetových aplikací a webových služeb. Je schopen se orientovat v různých webových architekturách a platformách databázových systémů, je také připraven na práci datového analytika, a to v doménách multimediálních, relačních i nerelačních velkých dat, sociálních sítí. Má dostatečný základ vědomostí pro navazující magisterské studium informatiky.","The graduate is a specialist in the design and development of software geared among others at data processing, internet applications, and web services. He/she is capable of navigating in various web architectures and database system platforms, and is also prepared for the job of a data analyst in multimedia domains, in relational and non-relational big data, and in social networks. A graduate possesses sufficient knowledge needed for a successful continuing study of computer science on a master level.",CS
N0114A300064,Učitelství deskriptivní geometrie pro střední školy,Teacher Education of Descriptive Geometry for Upper Secondary Schools,"11320",N,D,,,CS
B0114A170005,Deskriptivní geometrie se zaměřením na vzdělávání,Descriptive Geometry for Teacher Education,"11320",B,D,,,CS
P0541D170019,"Algebra, teorie čísel a matematická logika","Algebra, number theory, and mathematical logic","11320",D,D,"Absolventi mají pokročilé znalosti z moderní algebry, matematické logiky a teorie čísel,ověřené úspěšně složenou státní doktorskou zkouškou.  Jsou schopni využívat nové vědecké poznatky a aplikovat a rozvíjet je při řešení konkrétních problémů. Jsou také schopni systematické vědecké práce, včetně publikování a prezentace dosažených výsledků v odborných časopisech a na mezinárodních vědeckých konferencích. Významná  část jejich doktorské dizertace je publikována v odborném časopise. Mají výborné předpoklady  k akademické dráze na univerzitách a výzkumných institucích v ČR i v zahraničí , ale i ve firmách s potřebou aplikovaného výzkumu a vývoje.
","The graduates have advanced knowledge of contemporary algebra, mathematical logic and number theory, verified by successfuly passing the state doctoral exam. They are able to make use of recent scientific achievements and develop and apply them to solutions of concrete problems. They are also able to do systematic research, including publication and presentation of their results in research journals and at international conferences. A substantiv part of their Dissertation has been published in a research journal. They have the capacity to start a successful  academic careeer at universities and research institutions both in the Czech Republic and abroad, but also work in R&D departments of various companies worldwide.
",CS
P0533D110022,Částicová a jaderná fyzika,Particle and Nuclear Physics,"11320",D,E,"Absolvent má dle zaměření hluboké vzdělání v moderní částicové nebo jaderné fyzice a je kvalifikovaným odborníkem v experimentální nebo teoretické větvi těchto oborů. Nachází uplatnění především v základním výzkumu v akademických institucích, částečně i v aplikovaném výzkumu. Absolventi mají zkušenosti s prací v mezinárodních vědeckých týmech nebo jsou připraveni se do nich začlenit. Typický absolvent daného oboru má značnou míru profesní adaptability zvláště díky získaným zkušenostem s týmovou prací a využitím výpočetní techniky a moderních technologií.","Depending on the chosen specialization, a graduate has a deep knowledge in modern particle or nuclear physics and is a qualified expert in the experimental or theoretical branches of these fields. He or she can find employment especially in basic research of academic institutions, partly in applied research. Graduates have experience of working in, or are ready to integrate in international scientific collaborations. A typical graduate of a given branch has a considerable degree of professional adaptability, especially thanks to the experience gained in team work and the use of modern technologies and tools.",CS
N0533A110018,Geofyzika a fyzika planet,Geophysics and Planetary Science,"11320",N,D,"Absolvent má spolehlivé znalosti v obecných oblastech fyziky, zejména v mechanice kontinua, termodynamice a teorii elektromagnetického a gravitačního pole, a hlubší znalosti a dovednosti v hlavních oblastech geofyzikálního výzkumu. Je schopen tvořivě řešit problémy související se vznikem zemětřesení a šířením seismických vln zemským nitrem, analyzovat a interpretovat jevy pozorované v elektromagnetickém a tíhovém poli Země a planet a provádět počítačové simulace termálního a deformačního vývoje planet a jejich měsíců. Při řešení těchto problémů používá metody numerické matematiky a matematického modelování, které dokáže efektivně počítačově implementovat. Výsledky své odborné práce je schopen přehledně a srozumitelně sdělovat formou prezentací a odborných textů v češtině i angličtině.","Graduates possess advanced knowledge in general branches of physics, in particular in continuum mechanics, thermodynamics, and electromagnetic and gravity fields, and deep knowledge and practical skills in the main geophysical disciplines. They are able to independently solve the basic problems in the field of earthquake source and seismic wave propagation, analyze and interpret phenomena observed in the electromagnetic and gravitational field of the Earth and planets, and perform computer simulations of thermal evolution and deformation of planetary bodies using advanced methods of continuum mechanics. They solve these problems using the methods of mathematical modeling and computer physics that they have learned. After they have solved these problems, they are able to clearly present their results in standard scientific form

",CS
P0613D140012,Informatika - Vizuální výpočty a počítačové hry,Computer Science - Visual computing and computer games,"11320",D,E,"Absolvent je vybaven teoretickými znalostmi i praktickými zkušenostmi z počítačové grafiky, analýzy obrazu, strojového vidění a vývoje počítačových her. Má přehled o současných metodách používaných v těchto oborech a umí je aplikovat při řešení konkrétních výzkumných i praktických úkolů. Absolvent se může uplatnit v soukromých i veřejných firmách zabývajících se počítačovou grafikou (filmová produkce, počítačová animace, realistické zobrazování, 2D a 3D tisk, atp.), analýzou obrazu a počítačovým viděním (kamerové systémy, mikroskopie, dálkový průzkum země, armádní a lékařské aplikace, bezpečnostní systémy, rozpoznávání biometrických údajů, atp.) nebo ve vývoji počítačových her a interaktivních systémů virtuální a rozšířené reality.
","Graduates are equipped with theoretical knowledge and practical experience in the major areas of computer graphics, image analysis, machine vision, and computer games technology. They have knowledge of the state-of-the-art methods used in these fields and possess the ability to apply these in solving research problems as well as practical tasks. Graduates can work in both private and public enterprises focusing on computer graphics (film production, computer animation, realistic rendering, 2D and 3D printing, etc.), image analysis and computer vision (CCTV, microscopy, remote sensing, military and medical applications, security systems, biometric data recognition, etc.) or in the development of computer games and interactive systems of virtual and augmented reality.
",CS
